Lipid,Parent_Ion,Product_Ion,Class,Transition,IDs,Names
[TG(60:5)]_FA16:1,982.9,711.9,TG,982.9 -> 711.9,"LMGL03015888, LMGL03011799, LMGL03011669, LMGL03011576","TG(16:1(9Z)/22:1(11Z)/22:3(10Z,13Z,16Z))[iso6], TG(16:1(9Z)/22:2(13Z,16Z)/22:2(13Z,16Z))[iso3], TG(16:1(9Z)/22:0/22:4(7Z,10Z,13Z,16Z))[iso6], TG(16:1(9Z)/22:1(13Z)/22:3(10Z,13Z,16Z))[iso6]"
[TG(60:5)]_FA18:0,982.9,681.9,TG,982.9 -> 681.9,"LMGL03011432, LMGL03016207, LMGL03011534, LMGL03011590, LMGL03011486, LMGL03011525, LMGL03011496","TG(18:0/20:2(11Z,14Z)/22:3(10Z,13Z,16Z))[iso6], TG(18:0/20:4(5Z,8Z,11Z,14Z)/22:1(11Z))[iso6], TG(18:0/20:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso6], TG(18:0/20:3(8Z,11Z,14Z)/22:2(13Z,16Z))[iso6], TG(18:0/20:5(5Z,8Z,11Z,14Z,17Z)/22:0)[iso6], TG(18:0/20:1(11Z)/22:4(7Z,10Z,13Z,16Z))[iso6], TG(18:0/20:4(5Z,8Z,11Z,14Z)/22:1(13Z))[iso6]"
[TG(60:6)]_FA16:0,980.9,707.9,TG,980.9 -> 707.9,"LMGL03011809, LMGL03011750, LMGL03015799, LMGL03011760, LMGL03011575","TG(16:0/22:2(13Z,16Z)/22:4(7Z,10Z,13Z,16Z))[iso6], TG(16:0/22:1(13Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6], TG(16:0/22:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6], TG(16:0/22:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6], TG(16:0/22:3(10Z,13Z,16Z)/22:3(10Z,13Z,16Z))[iso3]"
[TG(60:6)]_FA16:1,980.9,709.9,TG,980.9 -> 709.9,"LMGL03015889, LMGL03015892, LMGL03011741, LMGL03011751, LMGL03011730","TG(16:1(9Z)/22:1(11Z)/22:4(7Z,10Z,13Z,16Z))[iso6], TG(16:1(9Z)/22:2(13Z,16Z)/22:3(10Z,13Z,16Z))[iso6], TG(16:1(9Z)/22:1(13Z)/22:4(7Z,10Z,13Z,16Z))[iso6], TG(16:1(9Z)/22:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso6], TG(16:1(9Z)/22:3(10Z,13Z,16Z)/22:2(13Z,16Z))[iso6]"
[TG(60:6)]_FA18:0,980.9,679.9,TG,980.9 -> 679.9,"LMGL03011600, LMGL03011618, LMGL03011506, LMGL03016208, LMGL03011663, LMGL03011609, LMGL03011569","TG(18:0/20:2(11Z,14Z)/22:4(7Z,10Z,13Z,16Z))[iso6], TG(18:0/20:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6], TG(18:0/20:3(8Z,11Z,14Z)/22:3(10Z,13Z,16Z))[iso6], TG(18:0/20:5(5Z,8Z,11Z,14Z,17Z)/22:1(11Z))[iso6], TG(18:0/20:4(5Z,8Z,11Z,14Z)/22:2(13Z,16Z))[iso6], TG(18:0/20:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6], TG(18:0/20:5(5Z,8Z,11Z,14Z,17Z)/22:1(13Z))[iso6]"
[TG(60:7)]_FA16:0,978.9,705.9,TG,978.9 -> 705.9,"LMGL03011830, LMGL03015800, LMGL03011740, LMGL03011888","TG(16:0/22:1(13Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6], TG(16:0/22:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6], TG(16:0/22:3(10Z,13Z,16Z)/22:4(7Z,10Z,13Z,16Z))[iso6], TG(16:0/22:2(13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]"
[TG(60:7)]_FA16:1,978.9,707.9,TG,978.9 -> 707.9,"LMGL03011878, LMGL03015890, LMGL03011831, LMGL03011648, LMGL03011821","TG(16:1(9Z)/22:2(13Z,16Z)/22:4(7Z,10Z,13Z,16Z))[iso6], TG(16:1(9Z)/22:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6], TG(16:1(9Z)/22:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6], TG(16:1(9Z)/22:3(10Z,13Z,16Z)/22:3(10Z,13Z,16Z))[iso3], TG(16:1(9Z)/22:1(13Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]"
[TG(60:7)]_FA18:0,978.9,677.9,TG,978.9 -> 677.9,"LMGL03011683, LMGL03011580, LMGL03011734, LMGL03011692, LMGL03011673","TG(18:0/20:2(11Z,14Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6], TG(18:0/20:4(5Z,8Z,11Z,14Z)/22:3(10Z,13Z,16Z))[iso6], TG(18:0/20:5(5Z,8Z,11Z,14Z,17Z)/22:2(13Z,16Z))[iso6], TG(18:0/20:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6], TG(18:0/20:3(8Z,11Z,14Z)/22:4(7Z,10Z,13Z,16Z))[iso6]"
[TG(60:8)]_FA16:0,976.9,703.9,TG,976.9 -> 703.9,"LMGL03011820, LMGL03011877, LMGL03011964","TG(16:0/22:3(10Z,13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6], TG(16:0/22:4(7Z,10Z,13Z,16Z)/22:4(7Z,10Z,13Z,16Z))[iso3], TG(16:0/22:2(13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]"
[TG(60:8)]_FA16:1,976.9,705.9,TG,976.9 -> 705.9,"LMGL03011810, LMGL03015891, LMGL03011900, LMGL03011954","TG(16:1(9Z)/22:3(10Z,13Z,16Z)/22:4(7Z,10Z,13Z,16Z))[iso6], TG(16:1(9Z)/22:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6], TG(16:1(9Z)/22:1(13Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6], TG(16:1(9Z)/22:2(13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]"
[TG(60:8)]_FA18:0,976.9,675.9,TG,976.9 -> 675.9,"LMGL03011755, LMGL03011745, LMGL03011765, LMGL03011652","TG(18:0/20:3(8Z,11Z,14Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6], TG(18:0/20:4(5Z,8Z,11Z,14Z)/22:4(7Z,10Z,13Z,16Z))[iso6], TG(18:0/20:2(11Z,14Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6], TG(18:0/20:5(5Z,8Z,11Z,14Z,17Z)/22:3(10Z,13Z,16Z))[iso6]"
[TG(60:9)]_FA16:0,974.9,701.9,TG,974.9 -> 701.9,"LMGL03011953, LMGL03011899","TG(16:0/22:4(7Z,10Z,13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6], TG(16:0/22:3(10Z,13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]"
[TG(60:9)]_FA16:1,974.9,703.9,TG,974.9 -> 703.9,"LMGL03012028, LMGL03011889, LMGL03011942","TG(16:1(9Z)/22:2(13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6], TG(16:1(9Z)/22:3(10Z,13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6], TG(16:1(9Z)/22:4(7Z,10Z,13Z,16Z)/22:4(7Z,10Z,13Z,16Z))[iso3]"
[TG(60:9)]_FA18:0,974.9,673.9,TG,974.9 -> 673.9,"LMGL03011814, LMGL03011825, LMGL03011835","TG(18:0/20:5(5Z,8Z,11Z,14Z,17Z)/22:4(7Z,10Z,13Z,16Z))[iso6], TG(18:0/20:4(5Z,8Z,11Z,14Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6], TG(18:0/20:3(8Z,11Z,14Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]"
[TG(48:0)]_FA18:2,824.8,527.796,TG,824.8 -> 527.796,N/A,N/A
[TG(48:1)]_FA18:2,822.8,525.8,TG,822.8 -> 525.8,N/A,N/A
[TG(48:2)]_FA18:2,820.8,523.8,TG,820.8 -> 523.8,"LMGL03013841, LMGL03013442, LMGL03014227, LMGL03012879","TG(13:0/17:0/18:2(9Z,12Z))[iso6], TG(12:0/18:0/18:2(9Z,12Z))[iso6], TG(14:0/16:0/18:2(9Z,12Z))[iso6], TG(15:0/15:0/18:2(9Z,12Z))[iso3]"
[TG(48:3)]_FA18:2,818.8,521.8,TG,818.8 -> 521.8,"LMGL03013864, LMGL03014985, LMGL03013462, LMGL03014252, LMGL03014633","TG(13:0/17:1(9Z)/18:2(9Z,12Z))[iso6], TG(15:0/15:1(9Z)/18:2(9Z,12Z))[iso6], TG(12:0/18:1(9Z)/18:2(9Z,12Z))[iso6], TG(14:0/16:1(9Z)/18:2(9Z,12Z))[iso6], TG(14:1(9Z)/16:0/18:2(9Z,12Z))[iso6]"
[TG(50:1)]_FA18:2,852.8,555.8,TG,852.8 -> 555.8,N/A,N/A
[TG(50:2)]_FA18:2,850.8,553.8,TG,850.8 -> 553.8,"LMGL03013487, LMGL03013950, LMGL03015060, LMGL03010044, LMGL03014342","TG(12:0/18:2(9Z,12Z)/20:0)[iso6], TG(13:0/18:2(9Z,12Z)/19:0)[iso6], TG(15:0/17:0/18:2(9Z,12Z))[iso6], TG(16:0/16:0/18:2(9Z,12Z))[iso3], TG(14:0/18:0/18:2(9Z,12Z))[iso6]"
[TG(50:3)]_FA18:2,848.8,551.8,TG,848.8 -> 551.8,"LMGL03010053, LMGL03013951, LMGL03014362, LMGL03014748, LMGL03015083, LMGL03015411, LMGL03013488","TG(16:0/16:1(9Z)/18:2(9Z,12Z))[iso6], TG(13:0/18:2(9Z,12Z)/19:1(9Z))[iso6], TG(14:0/18:1(9Z)/18:2(9Z,12Z))[iso6], TG(14:1(9Z)/18:0/18:2(9Z,12Z))[iso6], TG(15:0/17:1(9Z)/18:2(9Z,12Z))[iso6], TG(15:1(9Z)/17:0/18:2(9Z,12Z))[iso6], TG(12:0/18:2(9Z,12Z)/20:1(11Z))[iso6]"
[TG(50:4)]_FA18:2,846.8,549.8,TG,846.8 -> 549.8,"LMGL03014768, LMGL03015105, LMGL03015434, LMGL03010064, LMGL03012793, LMGL03013489","TG(14:1(9Z)/18:1(9Z)/18:2(9Z,12Z))[iso6], TG(15:0/17:2(9Z,12Z)/18:2(9Z,12Z))[iso6], TG(15:1(9Z)/17:1(9Z)/18:2(9Z,12Z))[iso6], TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z))[iso3], TG(14:0/18:2(9Z,12Z)/18:2(9Z,12Z))[iso3], TG(12:0/18:2(9Z,12Z)/20:2(11Z,14Z))[iso6]"
[TG(52:0)]_FA18:2,880.8,583.8,TG,880.8 -> 583.8,N/A,N/A
[TG(52:0)]_FA20:0,880.8,551.8,TG,880.8 -> 551.8,"LMGL03014018, LMGL03015066, LMGL03012677, LMGL03014348, LMGL03010080","TG(13:0/19:0/20:0)[iso6], TG(15:0/17:0/20:0)[iso6], TG(12:0/20:0/20:0)[iso3], TG(14:0/18:0/20:0)[iso6], TG(16:0/16:0/20:0)[iso3]"
[TG(52:0)]_FA20:4,880.8,559.8,TG,880.8 -> 559.8,N/A,N/A
[TG(52:1)]_FA18:2,878.8,581.8,TG,878.8 -> 581.8,N/A,N/A
[TG(52:1)]_FA20:4,878.8,557.8,TG,878.8 -> 557.8,N/A,N/A
[TG(52:1)]_FA20:0,878.8,549.8,TG,878.8 -> 549.8,"LMGL03013581, LMGL03014368, LMGL03014032, LMGL03014754, LMGL03015089, LMGL03015417, LMGL03010095","TG(12:0/20:0/20:1(11Z))[iso6], TG(14:0/18:1(9Z)/20:0)[iso6], TG(13:0/19:1(9Z)/20:0)[iso6], TG(14:1(9Z)/18:0/20:0)[iso6], TG(15:0/17:1(9Z)/20:0)[iso6], TG(15:1(9Z)/17:0/20:0)[iso6], TG(16:0/16:1(9Z)/20:0)[iso6]"
[TG(52:2)]_FA18:2,876.8,579.8,TG,876.8 -> 579.8,"LMGL03010104, LMGL03014387, LMGL03013958, LMGL03015169, LMGL03010090, LMGL03013494","TG(16:0/18:0/18:2(9Z,12Z))[iso6], TG(14:0/18:2(9Z,12Z)/20:0)[iso6], TG(13:0/18:2(9Z,12Z)/21:0)[iso6], TG(15:0/18:2(9Z,12Z)/19:0)[iso6], TG(17:0/17:0/18:2(9Z,12Z))[iso3], TG(12:0/18:2(9Z,12Z)/22:0)[iso6]"
[TG(52:2)]_FA20:0,876.8,547.8,TG,876.8 -> 547.8,"LMGL03014387, LMGL03014774, LMGL03015111, LMGL03015440, LMGL03013582, LMGL03010113","TG(14:0/18:2(9Z,12Z)/20:0)[iso6], TG(14:1(9Z)/18:1(9Z)/20:0)[iso6], TG(15:0/17:2(9Z,12Z)/20:0)[iso6], TG(15:1(9Z)/17:1(9Z)/20:0)[iso6], TG(12:0/20:0/20:2(11Z,14Z))[iso6], TG(16:1(9Z)/16:1(9Z)/20:0)[iso3]"
[TG(52:2)]_FA20:4,876.8,555.8,TG,876.8 -> 555.8,N/A,N/A
[TG(52:3)]_FA18:2,874.8,577.8,TG,874.8 -> 577.8,"LMGL03010121, LMGL03010106, LMGL03013495, LMGL03014793, LMGL03015170, LMGL03015520, LMGL03014388, LMGL03010122","TG(16:0/18:1(9Z)/18:2(9Z,12Z))[iso6], TG(17:0/17:1(9Z)/18:2(9Z,12Z))[iso6], TG(12:0/18:2(9Z,12Z)/22:1(11Z))[iso6], TG(14:1(9Z)/18:2(9Z,12Z)/20:0)[iso6], TG(15:0/18:2(9Z,12Z)/19:1(9Z))[iso6], TG(15:1(9Z)/18:2(9Z,12Z)/19:0)[iso6], TG(14:0/18:2(9Z,12Z)/20:1(11Z))[iso6], TG(16:1(9Z)/18:0/18:2(9Z,12Z))[iso6]"
[TG(52:3)]_FA20:0,874.8,545.8,TG,874.8 -> 545.8,"LMGL03014405, LMGL03014793, LMGL03015462, LMGL03014422, LMGL03013583","TG(14:0/18:3(6Z,9Z,12Z)/20:0)[iso6], TG(14:1(9Z)/18:2(9Z,12Z)/20:0)[iso6], TG(15:1(9Z)/17:2(9Z,12Z)/20:0)[iso6], TG(14:0/18:3(9Z,12Z,15Z)/20:0)[iso6], TG(12:0/20:0/20:3(8Z,11Z,14Z))[iso6]"
[TG(52:3)]_FA20:4,874.8,553.8,TG,874.8 -> 553.8,N/A,N/A
[TG(52:4)]_FA18:2,872.8,575.8,TG,872.8 -> 575.8,"LMGL03014389, LMGL03010124, LMGL03010142, LMGL03014794, LMGL03015521, LMGL03013496, LMGL03010123, LMGL03010141","TG(14:0/18:2(9Z,12Z)/20:2(11Z,14Z))[iso6], TG(17:1(9Z)/17:1(9Z)/18:2(9Z,12Z))[iso3], TG(16:1(9Z)/18:1(9Z)/18:2(9Z,12Z))[iso6], TG(14:1(9Z)/18:2(9Z,12Z)/20:1(11Z))[iso6], TG(15:1(9Z)/18:2(9Z,12Z)/19:1(9Z))[iso6], TG(12:0/18:2(9Z,12Z)/22:2(13Z,16Z))[iso6], TG(17:0/17:2(9Z,12Z)/18:2(9Z,12Z))[iso6], TG(16:0/18:2(9Z,12Z)/18:2(9Z,12Z))[iso3]"
[TG(52:4)]_FA20:0,872.8,543.8,TG,872.8 -> 543.8,"LMGL03014811, LMGL03014828, LMGL03013584, LMGL03014438","TG(14:1(9Z)/18:3(6Z,9Z,12Z)/20:0)[iso6], TG(14:1(9Z)/18:3(9Z,12Z,15Z)/20:0)[iso6], TG(12:0/20:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(14:0/18:4(6Z,9Z,12Z,15Z)/20:0)[iso6]"
[TG(52:4)]_FA20:4,872.8,551.8,TG,872.8 -> 551.8,"LMGL03014022, LMGL03015070, LMGL03013584, LMGL03014352, LMGL03010160","TG(13:0/19:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(15:0/17:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(12:0/20:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(14:0/18:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(16:0/16:0/20:4(5Z,8Z,11Z,14Z))[iso3]"
[TG(52:5)]_FA18:2,870.8,573.8,TG,870.8 -> 573.8,"LMGL03010144, LMGL03010167, LMGL03014795, LMGL03015731, LMGL03010163, LMGL03014390, LMGL03013497","TG(17:1(9Z)/17:2(9Z,12Z)/18:2(9Z,12Z))[iso6], TG(16:0/18:2(9Z,12Z)/18:3(9Z,12Z,15Z))[iso6], TG(14:1(9Z)/18:2(9Z,12Z)/20:2(11Z,14Z))[iso6], TG(16:0/18:2(9Z,12Z)/18:3(6Z,9Z,12Z))[iso6], TG(16:1(9Z)/18:2(9Z,12Z)/18:2(9Z,12Z))[iso3], TG(14:0/18:2(9Z,12Z)/20:3(8Z,11Z,14Z))[iso6], TG(12:0/18:2(9Z,12Z)/22:3(10Z,13Z,16Z))[iso6]"
[TG(52:5)]_FA20:0,870.8,541.8,TG,870.8 -> 541.8,"LMGL03014844, LMGL03013585","TG(14:1(9Z)/18:4(6Z,9Z,12Z,15Z)/20:0)[iso6], TG(12:0/20:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]"
[TG(52:5)]_FA20:4,870.8,549.796,TG,870.8 -> 549.796,"LMGL03010185, LMGL03014036, LMGL03014758, LMGL03015093, LMGL03015421, LMGL03014372, LMGL03013596","TG(16:0/16:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6], TG(13:0/19:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6], TG(14:1(9Z)/18:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(15:0/17:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6], TG(15:1(9Z)/17:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(14:0/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6], TG(12:0/20:1(11Z)/20:4(5Z,8Z,11Z,14Z))[iso6]"
[TG(52:6)]_FA18:2,868.7,571.7,TG,868.7 -> 571.7,"LMGL03014796, LMGL03015822, LMGL03015732, LMGL03010193, LMGL03013498, LMGL03010166, LMGL03014391","TG(14:1(9Z)/18:2(9Z,12Z)/20:3(8Z,11Z,14Z))[iso6], TG(16:1(9Z)/18:2(9Z,12Z)/18:3(6Z,9Z,12Z))[iso6], TG(16:0/18:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z))[iso6], TG(16:1(9Z)/18:2(9Z,12Z)/18:3(9Z,12Z,15Z))[iso6], TG(12:0/18:2(9Z,12Z)/22:4(7Z,10Z,13Z,16Z))[iso6], TG(17:2(9Z,12Z)/17:2(9Z,12Z)/18:2(9Z,12Z))[iso3], TG(14:0/18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))[iso6]"
[TG(52:6)]_FA20:0,868.7,539.7,TG,868.7 -> 539.7,N/A,N/A
[TG(52:6)]_FA20:4,868.7,547.7,TG,868.7 -> 547.7,"LMGL03014778, LMGL03015115, LMGL03015444, LMGL03010214, LMGL03013607, LMGL03014391","TG(14:1(9Z)/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6], TG(15:0/17:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))[iso6], TG(15:1(9Z)/17:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6], TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso3], TG(12:0/20:2(11Z,14Z)/20:4(5Z,8Z,11Z,14Z))[iso6], TG(14:0/18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))[iso6]"
[TG(54:0)]_FA18:2,908.9,611.9,TG,908.9 -> 611.9,N/A,N/A
[TG(54:0)]_FA20:0,908.9,579.9,TG,908.9 -> 579.9,"LMGL03013587, LMGL03014051, LMGL03015237, LMGL03010175, LMGL03012799, LMGL03010154","TG(12:0/20:0/22:0)[iso6], TG(13:0/20:0/21:0)[iso6], TG(15:0/19:0/20:0)[iso6], TG(16:0/18:0/20:0)[iso6], TG(14:0/20:0/20:0)[iso3], TG(17:0/17:0/20:0)[iso3]"
[TG(54:0)]_FA20:4,908.9,587.9,TG,908.9 -> 587.9,N/A,N/A
[TG(54:1)]_FA18:2,906.8,609.8,TG,906.8 -> 609.8,N/A,N/A
[TG(54:1)]_FA20:0,906.8,577.8,TG,906.8 -> 577.8,"LMGL03012857, LMGL03014481, LMGL03015251, LMGL03015588, LMGL03010202, LMGL03010177, LMGL03010201, LMGL03013588","TG(14:1(9Z)/20:0/20:0)[iso3], TG(14:0/20:0/20:1(11Z))[iso6], TG(15:0/19:1(9Z)/20:0)[iso6], TG(15:1(9Z)/19:0/20:0)[iso6], TG(16:1(9Z)/18:0/20:0)[iso6], TG(17:0/17:1(9Z)/20:0)[iso6], TG(16:0/18:1(9Z)/20:0)[iso6], TG(12:0/20:0/22:1(11Z))[iso6]"
[TG(54:1)]_FA20:4,906.8,585.8,TG,906.8 -> 585.8,N/A,N/A
[TG(54:2)]_FA18:2,904.8,607.8,TG,904.8 -> 607.8,"LMGL03010230, LMGL03010220, LMGL03010259, LMGL03015177, LMGL03014394","TG(16:0/18:2(9Z,12Z)/20:0)[iso6], TG(18:0/18:0/18:2(9Z,12Z))[iso3], TG(17:0/18:2(9Z,12Z)/19:0)[iso6], TG(15:0/18:2(9Z,12Z)/21:0)[iso6], TG(14:0/18:2(9Z,12Z)/22:0)[iso6]"
[TG(54:2)]_FA20:0,904.8,575.8,TG,904.8 -> 575.8,"LMGL03010230, LMGL03010231, LMGL03010203, LMGL03013589, LMGL03014887, LMGL03015602, LMGL03014482, LMGL03010204","TG(16:0/18:2(9Z,12Z)/20:0)[iso6], TG(16:1(9Z)/18:1(9Z)/20:0)[iso6], TG(17:0/17:2(9Z,12Z)/20:0)[iso6], TG(12:0/20:0/22:2(13Z,16Z))[iso6], TG(14:1(9Z)/20:0/20:1(11Z))[iso6], TG(15:1(9Z)/19:1(9Z)/20:0)[iso6], TG(14:0/20:0/20:2(11Z,14Z))[iso6], TG(17:1(9Z)/17:1(9Z)/20:0)[iso3]"
[TG(54:2)]_FA20:4,904.8,583.8,TG,904.8 -> 583.8,N/A,N/A
[TG(54:3)]_FA18:2,902.8,605.8,TG,902.8 -> 605.8,"LMGL03010263, LMGL03010267, LMGL03010294, LMGL03014800, LMGL03015528, LMGL03015911, LMGL03014395, LMGL03010252","TG(16:1(9Z)/18:2(9Z,12Z)/20:0)[iso6], TG(16:0/18:2(9Z,12Z)/20:1(11Z))[iso6], TG(17:1(9Z)/18:2(9Z,12Z)/19:0)[iso6], TG(14:1(9Z)/18:2(9Z,12Z)/22:0)[iso6], TG(15:1(9Z)/18:2(9Z,12Z)/21:0)[iso6], TG(17:0/18:2(9Z,12Z)/19:1(9Z))[iso6], TG(14:0/18:2(9Z,12Z)/22:1(11Z))[iso6], TG(18:0/18:1(9Z)/18:2(9Z,12Z))[iso6]"
[TG(54:3)]_FA20:0,902.8,573.8,TG,902.8 -> 573.8,"LMGL03010263, LMGL03014483, LMGL03014888, LMGL03015739, LMGL03013590, LMGL03010262, LMGL03010233","TG(16:1(9Z)/18:2(9Z,12Z)/20:0)[iso6], TG(14:0/20:0/20:3(8Z,11Z,14Z))[iso6], TG(14:1(9Z)/20:0/20:2(11Z,14Z))[iso6], TG(16:0/18:3(6Z,9Z,12Z)/20:0)[iso6], TG(12:0/20:0/22:3(10Z,13Z,16Z))[iso6], TG(16:0/18:3(9Z,12Z,15Z)/20:0)[iso6], TG(17:1(9Z)/17:2(9Z,12Z)/20:0)[iso6]"
[TG(54:3)]_FA20:4,902.8,581.8,TG,902.8 -> 581.8,N/A,N/A
[TG(54:4)]_FA18:2,900.8,603.8,TG,900.8 -> 603.8,"LMGL03010288, LMGL03010303, LMGL03014396, LMGL03015994, LMGL03014801, LMGL03010333, LMGL03010287, LMGL03010307","TG(18:1(9Z)/18:1(9Z)/18:2(9Z,12Z))[iso3], TG(16:1(9Z)/18:2(9Z,12Z)/20:1(11Z))[iso6], TG(14:0/18:2(9Z,12Z)/22:2(13Z,16Z))[iso6], TG(17:1(9Z)/18:2(9Z,12Z)/19:1(9Z))[iso6], TG(14:1(9Z)/18:2(9Z,12Z)/22:1(11Z))[iso6], TG(17:2(9Z,12Z)/18:2(9Z,12Z)/19:0)[iso6], TG(18:0/18:2(9Z,12Z)/18:2(9Z,12Z))[iso3], TG(16:0/18:2(9Z,12Z)/20:2(11Z,14Z))[iso6]"
[TG(54:4)]_FA20:0,900.8,571.8,TG,900.8 -> 571.8,"LMGL03013591, LMGL03010266, LMGL03010298, LMGL03014889, LMGL03015758, LMGL03015830, LMGL03014484","TG(12:0/20:0/22:4(7Z,10Z,13Z,16Z))[iso6], TG(17:2(9Z,12Z)/17:2(9Z,12Z)/20:0)[iso3], TG(16:1(9Z)/18:3(9Z,12Z,15Z)/20:0)[iso6], TG(14:1(9Z)/20:0/20:3(8Z,11Z,14Z))[iso6], TG(16:0/18:4(6Z,9Z,12Z,15Z)/20:0)[iso6], TG(16:1(9Z)/18:3(6Z,9Z,12Z)/20:0)[iso6], TG(14:0/20:0/20:4(5Z,8Z,11Z,14Z))[iso6]"
[TG(54:4)]_FA20:4,900.8,579.8,TG,900.8 -> 579.8,"LMGL03010315, LMGL03015241, LMGL03014093, LMGL03010280, LMGL03013629, LMGL03014484","TG(16:0/18:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(15:0/19:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(13:0/20:4(5Z,8Z,11Z,14Z)/21:0)[iso6], TG(17:0/17:0/20:4(5Z,8Z,11Z,14Z))[iso3], TG(12:0/20:4(5Z,8Z,11Z,14Z)/22:0)[iso6], TG(14:0/20:0/20:4(5Z,8Z,11Z,14Z))[iso6]"
[TG(54:5)]_FA18:2,898.8,601.8,TG,898.8 -> 601.8,"LMGL03014397, LMGL03010327, LMGL03010329, LMGL03010347, LMGL03010351, LMGL03014802, LMGL03016073, LMGL03016146","TG(14:0/18:2(9Z,12Z)/22:3(10Z,13Z,16Z))[iso6], TG(18:1(9Z)/18:2(9Z,12Z)/18:2(9Z,12Z))[iso3], TG(18:0/18:2(9Z,12Z)/18:3(9Z,12Z,15Z))[iso6], TG(16:1(9Z)/18:2(9Z,12Z)/20:2(11Z,14Z))[iso6], TG(16:0/18:2(9Z,12Z)/20:3(8Z,11Z,14Z))[iso6], TG(14:1(9Z)/18:2(9Z,12Z)/22:2(13Z,16Z))[iso6], TG(17:2(9Z,12Z)/18:2(9Z,12Z)/19:1(9Z))[iso6], TG(18:0/18:2(9Z,12Z)/18:3(6Z,9Z,12Z))[iso6]"
[TG(54:5)]_FA20:0,898.8,569.8,TG,898.8 -> 569.8,"LMGL03014890, LMGL03015849, LMGL03014485, LMGL03013592","TG(14:1(9Z)/20:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(16:1(9Z)/18:4(6Z,9Z,12Z,15Z)/20:0)[iso6], TG(14:0/20:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6], TG(12:0/20:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]"
