Unnamed: 0,Class,Lipid,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition,is_special_case,n-7,n-9,n-12,db_pos,Ratio
157783,,TG(52:2)]_FA18:1,12642.0,766.7,577.596,18.07,RBDCanola_O3on_150gN3_02082023,766.7 -> 577.596,0,684.7,656.7,614.7,n-9,4.701375976199331
211437,TAG,TG(52:2)]_FA18:1,58976.0,876.8,577.596,18.09,RBDCanola_O3on_150gN3_02082023,876.8 -> 577.596,0,794.8,766.8,724.8,,
183535,,TG(52:2)]_FA18:1,2689.0,794.7,577.596,18.06,RBDCanola_O3on_150gN3_02082023,794.7 -> 577.596,0,712.7,684.7,642.7,n-7,
155520,,TG(52:3)]_FA18:1,3097.0,764.6,575.596,16.16,RBDCanola_O3on_150gN3_02082023,764.6 -> 575.596,0,682.6,654.6,612.6,n-9,3.0693756194251733
209171,TAG,TG(52:3)]_FA18:1,13319.0,874.8,575.596,16.15,RBDCanola_O3on_150gN3_02082023,874.8 -> 575.596,0,792.8,764.8,722.8,,
179121,,TG(52:3)]_FA18:1,1009.0,792.7,575.596,16.07,RBDCanola_O3on_150gN3_02082023,792.7 -> 575.596,0,710.7,682.7,640.7,n-7,
162311,,TG(53:0)]_FA18:1,586.0,784.6,595.596,21.92,RBDCanola_O3on_150gN3_02082023,784.6 -> 595.596,0,702.6,674.6,632.6,n-9,1.31981981981982
213541,TAG,TG(53:0)]_FA18:1,2299.0,894.8,595.596,17.39,RBDCanola_O3on_150gN3_02082023,894.8 -> 595.596,0,812.8,784.8,742.8,,
188003,,TG(53:0)]_FA18:1,444.0,812.7,595.596,20.93,RBDCanola_O3on_150gN3_02082023,812.7 -> 595.596,0,730.7,702.7,660.7,n-7,
181510,,TG(54:2)]_FA18:1,7721.0,794.6,605.596,20.04,RBDCanola_O3on_150gN3_02082023,794.6 -> 605.596,0,712.6,684.6,642.6,n-9,4.475942028985507
224439,TAG,TG(54:2)]_FA18:1,37838.0,904.8,605.596,20.04,RBDCanola_O3on_150gN3_02082023,904.8 -> 605.596,0,822.8,794.8,752.8,,
198675,,TG(54:2)]_FA18:1,1725.0,822.7,605.596,19.98,RBDCanola_O3on_150gN3_02082023,822.7 -> 605.596,0,740.7,712.7,670.7,n-7,
177094,,TG(54:3)]_FA18:1,63686.0,792.6,603.596,18.01,RBDCanola_O3on_150gN3_02082023,792.6 -> 603.596,0,710.6,682.6,640.6,n-9,5.410415427746156
222168,TAG,TG(54:3)]_FA18:1,297883.0,902.8,603.596,18.02,RBDCanola_O3on_150gN3_02082023,902.8 -> 603.596,0,820.8,792.8,750.8,,
196408,,TG(54:3)]_FA18:1,11771.0,820.7,603.596,18.01,RBDCanola_O3on_150gN3_02082023,820.7 -> 603.596,0,738.7,710.7,668.7,n-7,
172686,,TG(54:4)]_FA18:1,17709.0,790.6,601.596,16.12,RBDCanola_O3on_150gN3_02082023,790.6 -> 601.596,0,708.6,680.6,638.6,n-9,4.974438202247191
219904,TAG,TG(54:4)]_FA18:1,87513.0,900.8,601.596,16.11,RBDCanola_O3on_150gN3_02082023,900.8 -> 601.596,0,818.8,790.8,748.8,,
194145,,TG(54:4)]_FA18:1,3560.0,818.7,601.596,16.1,RBDCanola_O3on_150gN3_02082023,818.7 -> 601.596,0,736.7,708.7,666.7,n-7,
153262,,[TG(52:4)]_FA18:1,1317.0,762.6,573.596,14.33,RBDCanola_O3on_150gN3_02082023,762.6 -> 573.596,0,680.6,652.6,610.6,n-9,2.676829268292683
206913,TAG,[TG(52:4)]_FA18:1,6939.0,872.8,573.596,14.34,RBDCanola_O3on_150gN3_02082023,872.8 -> 573.596,0,790.8,762.8,720.8,,
174721,,[TG(52:4)]_FA18:1,492.0,790.7,573.596,14.31,RBDCanola_O3on_150gN3_02082023,790.7 -> 573.596,0,708.7,680.7,638.7,n-7,
151587,,[TG(52:5)]_FA18:1,526.0,760.6,571.596,22.02,RBDCanola_O3on_150gN3_02082023,760.6 -> 571.596,0,678.6,650.6,608.6,n-9,1.511494252873563
