Class,Lipid,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition,baseline,corrected_intensity,peak_area,peak_start,peak_stop,peak_middle,is_special_case,n-7,n-9,n-12,db_pos,Ratio
TAG,TG(54:2)]_FA18:1,22456.0,904.8,605.596,19.93,DegummedCanola_O3on_150gN3_02082023,904.8 -> 605.596,1835.6748581885242,20620.407173061474,3925.9164625939557,19.58940499721003,20.37495805432565,19.9284,0,822.8,794.8,752.8,,
,TG(54:2)]_FA18:1,1345.0,822.7,605.596,19.95,DegummedCanola_O3on_150gN3_02082023,822.7 -> 605.596,255.39618168712428,1089.3239110863133,382.5886490227575,19.366616666666665,20.410933616492947,19.966616666666667,0,740.7,712.7,670.7,n-7,
,TG(54:3)]_FA18:1,61998.0,792.6,603.596,17.88,DegummedCanola_O3on_150gN3_02082023,792.6 -> 603.596,718.0179783869786,61279.786709113025,6914.8107668927605,17.755864387962962,18.00940785591773,17.883866666666666,0,710.6,682.6,640.6,n-9,5.7485396383866485
TAG,TG(54:3)]_FA18:1,254776.0,902.8,603.596,17.89,DegummedCanola_O3on_150gN3_02082023,902.8 -> 603.596,5074.555127023354,249701.92924797666,31479.35950337378,17.749462779337854,18.01905802369839,17.890383333333332,0,820.8,792.8,750.8,,
,TG(54:3)]_FA18:1,10785.0,820.7,603.596,17.9,DegummedCanola_O3on_150gN3_02082023,820.7 -> 603.596,165.48838061316374,10619.871970949336,1493.2462627900734,17.663703118292325,18.027851150002952,17.895983333333334,0,738.7,710.7,668.7,n-7,
,TG(54:4)]_FA18:1,14145.0,790.6,601.596,15.98,DegummedCanola_O3on_150gN3_02082023,790.6 -> 601.596,223.1130965957111,13922.16815340429,1592.5938393212768,15.841017019848701,16.08107963072521,15.976766666666668,0,708.6,680.6,638.6,n-9,4.065823512503593
TAG,TG(54:4)]_FA18:1,65799.0,900.8,601.596,15.97,DegummedCanola_O3on_150gN3_02082023,900.8 -> 601.596,340.0822633762951,65458.659924123705,7418.623786727743,15.825879239453526,16.09586424485825,15.966516666666667,0,818.8,790.8,748.8,,
,TG(54:4)]_FA18:1,3479.0,818.7,601.596,15.96,DegummedCanola_O3on_150gN3_02082023,818.7 -> 601.596,80.49783811803962,3398.5624646163355,475.0044216402834,15.631746657031156,16.095912344148786,15.9558,0,736.7,708.7,666.7,n-7,
,[TG(52:4)]_FA18:1,1897.0,762.6,573.596,14.19,DegummedCanola_O3on_150gN3_02082023,762.6 -> 573.596,138.49277347870594,1758.1073241775441,372.85636589096436,13.801832003879275,14.787066666666666,14.187066666666666,0,680.6,652.6,610.6,n-9,2.9640625
TAG,[TG(52:4)]_FA18:1,8600.0,872.8,573.596,14.19,DegummedCanola_O3on_150gN3_02082023,872.8 -> 573.596,101.31475709310986,8498.26629759439,1017.2888539454937,13.943936635366414,14.313593303573704,14.191766666666668,0,790.8,762.8,720.8,,
,[TG(52:4)]_FA18:1,640.0,790.7,573.596,14.2,DegummedCanola_O3on_150gN3_02082023,790.7 -> 573.596,327.62437120173274,312.39564832951726,,,,,0,708.7,680.7,638.7,n-7,
,[TG(52:5)]_FA18:1,541.0,760.6,571.596,12.38,DegummedCanola_O3on_150gN3_02082023,760.6 -> 571.596,175.8523475241779,365.2876671242596,,,,,0,678.6,650.6,608.6,n-9,1.36272040302267
TAG,[TG(52:5)]_FA18:1,512.0,870.8,571.596,12.3,DegummedCanola_O3on_150gN3_02082023,870.8 -> 571.596,42.26000213623047,469.3400344848633,,,,,0,788.8,760.8,718.8,,
,[TG(52:5)]_FA18:1,397.0,788.6,571.596,17.35,DegummedCanola_O3on_150gN3_02082023,788.6 -> 571.596,397.08001708984375,0.0,,,,,0,706.6,678.6,636.6,n-7,
TAG,[TG(52:6)]_FA18:1,462.0,868.7,569.596,14.65,DegummedCanola_O3on_150gN3_02082023,868.7 -> 569.596,42.320003509521484,420.080020904541,,,,,0,786.7,758.7,716.7,,
,[TG(52:6)]_FA18:1,445.0,786.6,569.596,18.33,DegummedCanola_O3on_150gN3_02082023,786.6 -> 569.596,444.5000305175781,0.0,,,,,0,704.6,676.6,634.6,n-7,
,[TG(54:5)]_FA18:1,4061.0,788.6,599.596,14.2,DegummedCanola_O3on_150gN3_02082023,788.6 -> 599.596,201.67666900064646,3859.4236727962284,305.5969701457419,13.971496462675157,14.295147913106472,14.167066666666667,0,706.6,678.6,636.6,n-9,3.827521206409048
TAG,[TG(54:5)]_FA18:1,13152.0,898.8,599.596,14.19,DegummedCanola_O3on_150gN3_02082023,898.8 -> 599.596,4754.532504252543,8397.628628559956,644.3915487455199,14.117757295297258,14.263451873066277,14.189416666666668,0,816.8,788.8,746.8,,
,[TG(54:5)]_FA18:1,1061.0,816.7,599.596,14.21,DegummedCanola_O3on_150gN3_02082023,816.7 -> 599.596,109.28824751579052,951.4917817810845,322.5282324799152,13.611316666666667,14.811316666666666,14.211316666666667,0,734.7,706.7,664.7,n-7,
,[TG(54:6)]_FA18:1,671.0,786.6,597.596,15.28,DegummedCanola_O3on_150gN3_02082023,786.6 -> 597.596,670.5000610351562,0.0,,,,,0,704.6,676.6,634.6,n-9,1.211191335740072
TAG,[TG(54:6)]_FA18:1,884.0,896.8,597.596,12.31,DegummedCanola_O3on_150gN3_02082023,896.8 -> 597.596,83.91976703132167,800.3202842382095,188.8485118050141,12.13090989512387,12.930783333333334,12.330783333333335,0,814.8,786.8,744.8,,
,[TG(54:6)]_FA18:1,554.0,814.7,597.596,16.43,DegummedCanola_O3on_150gN3_02082023,814.7 -> 597.596,42.44000244140625,511.60003662109375,,,,,0,732.7,704.7,662.7,n-7,
,TG(52:2)]_FA18:1,12642.0,766.7,577.596,18.07,RBDCanola_O3on_150gN3_02082023,766.7 -> 577.596,733.3494774445543,11908.611460055447,1429.206893281176,17.91945255335035,18.234831653009973,18.067416666666666,0,684.7,656.7,614.7,n-9,4.701375976199331
TAG,TG(52:2)]_FA18:1,58976.0,876.8,577.596,18.09,RBDCanola_O3on_150gN3_02082023,876.8 -> 577.596,4885.563550340776,54090.100512159224,7733.289702490087,17.787564490323955,18.248242907083824,18.072100000000002,0,794.8,766.8,724.8,,
,TG(52:2)]_FA18:1,2689.0,794.7,577.596,18.06,RBDCanola_O3on_150gN3_02082023,794.7 -> 577.596,331.95348970626753,2356.5667739656074,483.5220844838493,17.615882181961855,18.397639376320004,18.061833333333333,0,712.7,684.7,642.7,n-7,
,TG(52:3)]_FA18:1,3097.0,764.6,575.596,16.16,RBDCanola_O3on_150gN3_02082023,764.6 -> 575.596,474.42056896156083,2622.219567757189,490.9744685841912,15.559850000000003,16.270883501626912,16.159850000000002,0,682.6,654.6,612.6,n-9,3.0693756194251733
TAG,TG(52:3)]_FA18:1,13319.0,874.8,575.596,16.15,RBDCanola_O3on_150gN3_02082023,874.8 -> 575.596,2832.778316966524,10485.782229908476,1410.3252496024343,15.95278765532665,16.263153594921594,16.148233333333334,0,792.8,764.8,722.8,,
,TG(52:3)]_FA18:1,1009.0,792.7,575.596,16.07,RBDCanola_O3on_150gN3_02082023,792.7 -> 575.596,125.49267241942873,883.8873934985401,362.37566270230536,15.489516666666669,16.68951666666667,16.08951666666667,0,710.7,682.7,640.7,n-7,
,TG(53:0)]_FA18:1,586.0,784.6,595.596,21.92,RBDCanola_O3on_150gN3_02082023,784.6 -> 595.596,256.1200548744572,330.21997198101155,,,,,0,702.6,674.6,632.6,n-9,1.3198198198198199
TAG,TG(53:0)]_FA18:1,2299.0,894.8,595.596,17.39,RBDCanola_O3on_150gN3_02082023,894.8 -> 595.596,1375.1900692985034,923.8900088264966,174.5453927047837,17.133034581583214,17.535370879987997,17.3867,0,812.8,784.8,742.8,,
,TG(53:0)]_FA18:1,444.0,812.7,595.596,20.93,RBDCanola_O3on_150gN3_02082023,812.7 -> 595.596,42.400001525878906,401.82003021240234,,,,,0,730.7,702.7,660.7,n-7,
