Class,Lipid,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition,n-7,n-9,n-12,db_pos,Ratio
PC,PC(O-35:1),295.52001953125,760.6,571.6,10.0127,DegummedCanola_O3on_150gN3_02082023,760.6 -> 571.596,678.6,650.6,608.6,,
PC,PC(O-36:5),194.12001037597656,766.7,577.6,10.0113,DegummedCanola_O3on_150gN3_02082023,766.7 -> 577.596,684.7,656.7,614.7,,
PC,PC(O-37:4),194.04000854492188,782.6,593.6,10.010833333333334,DegummedCanola_O3on_150gN3_02082023,782.6 -> 593.596,700.6,672.6,630.6,,
PC,PC(O-38:4),101.96000671386719,796.7,579.6,10.005266666666667,DegummedCanola_O3on_150gN3_02082023,796.7 -> 579.596,714.7,686.7,644.7,,
PC,PC(O-38:5),224.42001342773438,794.7,577.6,10.005733333333334,DegummedCanola_O3on_150gN3_02082023,794.7 -> 577.596,712.7,684.7,642.7,,
PC,PC(O-38:6),126.24000549316406,792.7,575.6,10.039283333333334,DegummedCanola_O3on_150gN3_02082023,792.7 -> 575.596,710.7,682.7,640.7,,
PC,PC(O-40:5),234.28001403808594,822.7,605.6,10.00245,DegummedCanola_O3on_150gN3_02082023,822.7 -> 605.596,740.7,712.7,670.7,,
PC,PC(O-40:6),152.86001586914062,820.7,603.6,10.002916666666668,DegummedCanola_O3on_150gN3_02082023,820.7 -> 603.596,738.7,710.7,668.7,,
PC,PC(O-40:8),175.20001220703125,816.7,599.6,10.003866666666667,DegummedCanola_O3on_150gN3_02082023,816.7 -> 599.596,734.7,706.7,664.7,,
PC,PC(P-36:5),188.98001098632812,764.6,575.6,10.011766666666666,DegummedCanola_O3on_150gN3_02082023,764.6 -> 575.596,682.6,654.6,612.6,,
PC,PC(P-37:2),118.94001007080078,784.6,595.6,10.010366666666668,DegummedCanola_O3on_150gN3_02082023,784.6 -> 595.596,702.6,674.6,632.6,,
PC,PC(P-38:6),155.30001831054688,790.7,573.6,10.0076,DegummedCanola_O3on_150gN3_02082023,790.7 -> 573.596,708.7,680.7,638.7,,
